x,y
388,204
308,224
304,220
360,216
364,252
328,264
328,252
332,256
344,256
332,240
352,224
360,236
356,240
364,224
344,256
336,272
336,268
332,252
332,252
324,252
320,244
320,252
320,252
320,244
312,252
312,244
320,248
376,240
352,216
332,236
300,248
312,268
276,268
344,236
360,268
324,252
340,244
336,240
328,244
332,240
332,240
332,236
340,260
336,212
340,236
332,224
320,232
300,300
296,248
320,236
304,260
312,248
328,256
344,248
372,236
344,240
320,224
296,172
340,248
332,220
344,224
344,236
320,228
336,232
332,228
372,220
380,260
316,256
316,240
340,252
320,236
332,236
328,260
332,244
236,200
360,212
416,228
376,196
312,224
220,300
340,236
344,236
332,248
320,264
336,256
328,252
320,244
320,244
328,244
324,268
332,240
316,252
320,228
312,200
388,236
340,228
344,228
328,236
328,240
348,276
344,276
320,248
316,252
308,248
304,252
324,260
316,268
316,264
324,240
332,240
340,244
344,244
336,228
324,192
336,276
324,252
240,216
396,252
308,268
300,244
324,252
332,240
344,232
336,232
324,228
320,224
308,228
328,264
356,264
348,260
324,248
324,248
360,248
352,248
328,228
332,220
340,248
336,260
320,264
308,260
304,268
324,244
328,232
332,244
344,260
340,260
316,248
320,232
312,236
316,276
316,252
320,232
316,236
328,224
328,236
328,236
336,244
336,256
316,224
320,220
340,256
336,268
312,256
300,236
280,220
316,248
316,252
316,264
316,256
320,252
320,248
312,248
320,248
316,248
316,244
320,240
316,240
316,244
316,244
316,252
320,244
320,252
328,236
328,240
332,240
336,240
324,232
324,224
324,236
320,248
308,256
304,248
316,240
316,244
312,244
320,252
328,236
336,236
344,244
332,232
