x,y
336,368
288,156
280,220
336,252
340,232
280,240
284,224
368,244
328,256
300,252
300,224
316,220
280,232
316,244
344,228
356,216
356,216
336,256
344,264
308,228
276,204
316,224
316,240
312,248
320,256
292,216
316,180
304,264
316,276
316,244
316,256
316,244
328,240
328,248
332,252
344,256
320,252
344,252
308,260
292,232
340,284
380,228
284,216
264,236
340,228
328,244
328,256
332,256
332,236
312,220
304,212
300,260
380,296
276,224
256,228
400,236
300,212
300,208
348,280
360,244
300,212
328,236
356,256
328,244
336,236
340,216
336,224
332,240
356,224
340,216
328,236
316,228
316,236
304,228
304,224
312,232
292,220
300,236
288,212
328,236
344,200
324,212
324,236
304,224
296,232
316,220
316,208
312,232
1248,928
76,244
480,48
328,264
184,248
396,216
140,188
388,308
304,156
1216,624
292,252
340,256
332,244
332,244
328,244
1312,976
5248,3904
20992,15616
83968,62464
335872,249856
1343488,999424
5373952,3997696
21495808,15990784
328,240
1312,960
5248,3840
20992,15360
83968,61440
335872,245760
312,228
304,220
304,220
328,244
328,248
324,244
320,236
320,236
324,240
320,236
1280,944
5120,3776
20480,15104
81920,60416
472,124
196,332
384,220
348,212
284,248
312,252
336,252
472,28
252,296
300,312
316,272
332,184
332,268
332,256
312,232
308,236
312,236
312,244
324,140
308,320
320,196
320,216
312,252
324,240
320,240
308,228
316,220
312,240
308,244
324,248
324,244
328,236
316,228
300,216
296,240
340,240
332,228
316,228
308,224
304,240
328,244
328,252
332,240
324,232
312,240
316,232
316,244
312,252
316,248
320,244
320,244
