x,y
476,136
264,256
284,236
344,200
352,236
308,244
316,236
316,216
296,236
312,236
296,224
340,456
376,348
344,244
336,232
292,228
284,292
328,268
352,216
360,236
312,216
332,232
328,232
324,224
320,228
284,228
320,232
368,244
292,424
356,228
332,208
332,248
328,236
344,248
336,256
340,260
336,260
332,244
348,208
332,220
336,252
316,292
340,220
344,164
320,232
352,228
308,216
316,180
356,232
364,228
308,204
300,216
300,228
328,220
336,232
328,224
316,232
324,228
324,236
352,220
288,216
236,236
336,236
412,416
296,244
220,204
416,260
160,176
496,284
160,152
368,272
324,240
300,176
308,208
316,232
324,220
352,232
352,216
256,228
332,240
380,308
336,204
404,200
336,200
348,216
376,168
312,240
332,280
352,264
356,224
324,268
340,268
336,248
332,248
364,172
332,196
324,232
240,260
312,236
304,200
312,240
348,292
340,216
336,152
324,260
312,236
244,316
328,208
328,244
296,268
284,260
308,240
292,252
268,252
308,256
292,264
304,244
308,236
312,236
308,248
316,252
332,204
352,216
352,280
336,280
348,248
340,256
320,252
316,240
312,244
324,288
412,420
296,120
324,188
348,352
316,232
264,300
316,260
312,248
308,280
308,280
324,272
324,208
364,248
332,256
296,252
328,264
340,264
344,228
340,264
320,264
320,248
336,236
332,236
332,240
324,264
348,232
348,228
340,228
336,236
348,240
364,244
328,236
332,240
324,236
312,220
300,228
332,268
364,260
344,240
324,236
340,244
344,220
400,224
352,232
316,252
336,256
372,276
344,216
328,224
336,236
316,240
336,220
328,244
320,232
320,216
332,236
328,244
328,284
328,256
316,180
324,232
316,236
308,224
316,240
320,252
340,264
332,232
304,224
296,220
