x,y
269,261
345,258
337,258
316,211
327,181
337,223
329,222
321,215
319,218
314,234
300,286
318,271
328,261
328,282
298,248
318,222
319,231
322,245
310,261
311,231
336,173
348,196
353,200
347,206
346,215
351,219
350,222
326,230
248,247
314,242
343,230
366,218
327,234
287,209
317,219
296,241
302,241
303,251
286,256
284,249
302,244
298,232
298,243
298,253
295,269
298,274
303,239
326,200
340,223
344,236
319,237
298,256
282,256
300,228
337,209
359,222
353,218
325,218
322,221
302,236
320,245
317,245
310,253
295,256
297,244
308,239
313,232
321,225
323,235
324,242
325,251
313,254
303,238
304,234
308,234
308,234
311,237
314,238
317,240
319,235
320,231
322,231
330,228
338,221
328,231
315,245
303,253
304,250
299,243
302,238
304,235
316,228
335,227
339,224
351,225
327,226
318,228
319,231
319,233
319,232
327,232
331,231
329,228
329,228
329,230
327,237
327,248
335,248
332,242
321,240
316,247
314,253
316,255
298,261
303,269
303,277
308,274
308,261
310,243
315,249
322,256
327,265
327,273
325,259
322,258
318,257
315,260
310,261
310,250
315,243
321,212
322,212
322,225
317,230
329,222
334,213
338,226
338,225
328,221
321,221
321,231
321,231
321,231
321,227
317,227
316,229
316,239
316,242
316,241
316,241
317,240
318,239
320,234
323,233
323,236
323,236
323,236
323,238
323,237
323,237
323,237
325,245
330,241
325,239
318,243
318,246
331,242
323,249
327,240
323,242
331,253
325,251
325,243
328,244
328,244
326,255
322,254
322,254
326,265
323,259
327,262
335,259
324,261
310,262
303,250
316,242
327,240
319,244
309,244
316,244
322,239
316,232
316,223
316,223
316,230
315,231
312,233
312,230
314,228
317,228
