x,y
476,155
271,272
276,235
324,200
343,247
304,253
304,242
305,227
295,243
307,248
290,237
306,253
332,211
363,227
351,239
301,235
288,251
326,235
368,226
370,252
333,229
333,243
342,243
331,234
312,228
279,230
320,235
352,238
317,184
339,204
328,197
328,259
334,253
349,266
339,270
336,281
325,269
328,249
340,210
328,220
329,254
308,290
332,215
338,165
309,219
341,231
305,213
306,178
344,229
357,234
302,200
293,213
287,235
321,226
331,242
331,236
314,236
330,235
331,245
366,236
285,227
240,245
333,225
349,220
311,251
239,208
321,199
183,180
292,198
169,168
368,285
332,254
321,177
326,213
325,235
332,228
357,243
351,224
257,236
333,246
363,226
336,214
401,189
334,214
346,217
361,163
311,237
340,291
354,281
353,238
323,274
332,275
331,253
331,247
357,163
325,179
313,214
314,242
312,237
299,208
306,245
335,285
330,233
324,141
337,261
305,229
233,304
309,197
313,244
292,264
269,254
291,238
282,255
263,262
294,273
273,295
298,265
309,247
309,247
308,260
314,260
334,202
358,212
347,274
325,278
340,248
345,245
329,255
329,239
261,195
290,216
366,199
310,113
326,184
362,233
313,239
272,304
326,240
305,240
305,243
301,262
297,274
337,207
368,226
338,243
305,258
312,259
334,228
345,238
331,257
319,277
316,265
351,237
351,241
348,240
348,261
368,232
369,229
368,238
360,244
360,253
366,256
342,256
342,256
332,250
312,223
303,232
342,281
378,285
349,268
326,254
335,252
344,215
398,214
349,234
313,243
323,257
376,255
345,217
321,221
331,232
310,233
334,210
319,232
317,230
314,211
316,214
316,243
321,294
324,256
313,184
314,225
303,225
296,215
310,239
317,262
339,276
334,239
297,223
295,219
