x,y
384,320
281,158
321,357
353,179
335,208
277,280
267,274
325,198
365,275
361,220
261,234
305,270
419,218
321,210
357,226
344,252
326,183
357,209
318,243
338,221
305,238
320,237
326,233
291,195
324,247
390,263
342,231
333,193
370,281
324,300
358,233
374,298
298,223
314,209
317,212
318,176
290,212
296,237
317,254
315,259
300,235
261,212
289,246
346,247
313,265
291,241
335,259
308,265
303,273
332,252
323,220
321,267
319,292
317,256
320,239
284,241
349,222
351,242
309,217
289,227
334,230
334,231
306,225
297,238
349,254
370,209
369,251
314,232
320,234
353,261
397,239
290,242
320,234
320,225
344,255
358,260
336,253
321,229
340,243
340,302
333,289
338,188
350,215
297,241
318,198
316,242
308,218
288,237
300,245
320,222
288,258
316,234
312,235
329,236
327,223
333,221
307,241
326,221
353,208
325,265
304,223
343,251
384,231
356,240
312,240
357,233
339,246
335,270
339,293
298,199
252,152
279,329
301,242
305,231
303,213
331,311
335,293
323,284
303,294
292,282
316,302
329,292
331,304
334,295
356,279
373,296
350,277
376,277
373,277
400,274
382,295
372,275
350,298
340,291
307,282
309,294
321,262
339,250
298,231
306,219
323,199
285,205
267,252
312,226
304,238
301,238
301,254
308,258
322,258
329,263
325,272
343,250
348,252
323,227
320,227
307,178
335,174
309,240
333,220
342,240
356,223
365,211
352,219
343,256
331,238
331,272
319,261
265,216
310,269
412,256
326,250
312,265
350,280
308,266
311,226
297,163
231,297
321,288
328,265
275,259
324,301
298,276
342,289
346,271
357,280
363,277
363,260
377,306
377,269
386,258
381,262
381,249
376,273
371,294
370,280
364,303
343,309
342,338
333,279
305,308
